county_prec,total_reg
045_010,546.0
045_011,532.0
045_012,456.0
045_013,728.0
045_014,314.0
045_015,595.0
045_016,960.0
045_017,188.0
045_018,998.0
045_019,338.0
045_020,1274.0
045_021,941.0
045_022,1302.0
045_023,918.0
045_024,553.0
045_025,645.0
045_026,572.0
045_027,1212.0
045_028,620.0
045_029,568.0
045_030,1206.0
045_031,1639.0
045_032,422.0
045_033,858.0
045_034,858.0
045_035,618.0
045_036,536.0
045_037,665.0
045_038,958.0
045_039,1424.0
045_040,810.0
045_041,1315.0
045_042,1117.0
045_043,760.0
045_044,1298.0
045_045,1001.0
045_046,877.0
045_047,269.0
045_048,941.0
045_049,1548.0
045_050,1008.0
045_051,898.0
045_052,506.0
045_053,1358.0
045_054,1015.0
045_055,1100.0
045_056,1432.0
045_057,1148.0
045_058,765.0
045_059,1338.0
045_060,569.0
045_061,1324.0
045_062,835.0
045_063,869.0
045_064,708.0
045_065,752.0
045_066,714.0
045_067,1424.0
045_068,565.0
045_069,1227.0
045_070,841.0
045_071,1128.0
045_072,870.0
045_073,659.0
045_074,1649.0
045_075,617.0
045_076,1455.0
045_077,1189.0
047_001,533.0
047_002,1078.0
047_003,774.0
047_004,1389.0
047_005,1311.0
047_006,534.0
047_007,634.0
047_008,1520.0
047_009,371.0
047_010,496.0
047_011,218.0
047_012,786.0
047_013,485.0
047_014,136.0
047_015,184.0
047_016,831.0
047_017,143.0
047_018,361.0
047_019,641.0
047_020,151.0
047_021,554.0
047_022,345.0
047_023,1673.0
047_024,495.0
047_025,558.0
047_026,1386.0
047_027,882.0
047_028,662.0
043_001,1544.0
043_002,1371.0
043_003,764.0
043_004,549.0
043_005,1579.0
043_006,525.0
043_007,423.0
043_008,440.0
043_009,1184.0
043_010,386.0
043_011,1486.0
043_012,1463.0
043_013,1176.0
043_014,474.0
043_015,746.0
043_016,217.0
043_017,304.0
043_018,440.0
043_019,352.0
043_020,1187.0
043_021,395.0
043_022,495.0
043_023,308.0
043_024,531.0
043_025,1296.0
043_026,516.0
043_027,153.0
043_028,730.0
043_029,308.0
043_030,1471.0
043_031,1357.0
043_032,598.0
043_033,2135.0
043_034,812.0
043_035,1015.0
043_036,1097.0
043_037,2391.0
043_038,1246.0
043_039,2300.0
043_040,1230.0
043_041,1392.0
043_042,927.0
043_043,963.0
043_044,1508.0
043_045,1313.0
043_046,1006.0
043_047,2023.0
043_048,927.0
043_049,920.0
043_050,1385.0
043_052,454.0
043_053,1442.0
043_054,1090.0
043_055,1086.0
043_056,630.0
043_057,715.0
043_058,2067.0
043_059,445.0
043_060,907.0
043_061,910.0
043_062,1331.0
043_063,757.0
043_064,1453.0
043_065,1656.0
043_066,2253.0
043_067,1832.0
043_068,1949.0
043_069,1816.0
043_070,920.0
043_071,950.0
043_072,2249.0
043_073,689.0
043_074,1927.0
043_075,710.0
043_076,1284.0
043_077,708.0
043_078,300.0
043_079,254.0
043_080,1653.0
043_081,1013.0
043_082,1237.0
043_083,1233.0
043_084,1358.0
043_085,1313.0
043_086,1289.0
049_001,1038.0
049_002,229.0
049_003,361.0
049_004,83.0
049_005,782.0
049_006,173.0
049_007,519.0
049_008,1037.0
049_009,1128.0
049_010,1770.0
049_011,1690.0
049_012,1161.0
049_013,1562.0
049_014,756.0
049_015,779.0
049_016,303.0
