county_prec,pct_obama,pct_romney,obama,romney
039_021,0.7941176470588235,0.20588235294117646,54.0,14.0
039_022,0.8125,0.17708333333333334,78.0,17.0
039_023,0.8218390804597702,0.13218390804597702,143.0,23.0
039_024,0.8132450331125828,0.15364238410596026,614.0,116.0
039_025,0.1456953642384106,0.8013245033112583,22.0,121.0
039_026,0.6649484536082474,0.3247422680412371,129.0,63.0
039_027,0.7088607594936709,0.2911392405063291,56.0,23.0
039_028,0.9090909090909091,0.09090909090909091,30.0,3.0
039_029,0.0,1.0,0.0,15.0
039_030,0.425,0.5375,68.0,86.0
039_031,0.8359683794466403,0.12055335968379446,423.0,61.0
039_032,0.7357142857142858,0.22142857142857142,206.0,62.0
039_033,0.8428571428571429,0.11428571428571428,59.0,8.0
039_034,1.0,0.0,7.0,0.0
039_035,0.7570093457943925,0.22803738317757008,405.0,122.0
039_036,0.7464788732394366,0.228602383531961,689.0,211.0
039_037,0.8071428571428572,0.16428571428571428,113.0,23.0
039_038,0.7964912280701755,0.1824561403508772,454.0,104.0
039_039,0.7321100917431193,0.22752293577981653,399.0,124.0
039_040,0.7220338983050848,0.24745762711864408,426.0,146.0
039_041,0.8915094339622641,0.08018867924528301,567.0,51.0
039_042,0.8707482993197279,0.09523809523809523,128.0,14.0
041_001,0.4146341463414634,0.5505226480836237,119.0,158.0
041_002,0.2665799739921977,0.7113133940182055,205.0,547.0
041_003,0.2222222222222222,0.7407407407407407,12.0,40.0
041_004,0.14814814814814814,0.831275720164609,36.0,202.0
041_005,0.11330049261083744,0.8768472906403941,23.0,178.0
041_006,0.10266159695817491,0.8897338403041825,27.0,234.0
041_007,0.47297297297297297,0.4864864864864865,70.0,72.0
041_008,0.660056657223796,0.3031161473087819,233.0,107.0
041_009,0.2846034214618974,0.687402799377916,183.0,442.0
041_010,0.27527216174183516,0.6780715396578538,177.0,436.0
041_011,0.20476190476190476,0.7523809523809524,43.0,158.0
041_012,0.35049019607843135,0.6004901960784313,143.0,245.0
041_013,0.389937106918239,0.5345911949685535,62.0,85.0
041_014,0.3367983367983368,0.6153846153846154,162.0,296.0
041_015,0.2828282828282828,0.6919191919191919,56.0,137.0
041_016,0.2822085889570552,0.6993865030674846,46.0,114.0
041_017,0.19230769230769232,0.7840236686390533,65.0,265.0
041_018,0.16009852216748768,0.8054187192118226,65.0,327.0
045_001,0.7408491947291361,0.22108345534407028,506.0,151.0
045_002,0.7211703958691911,0.24784853700516352,419.0,144.0
045_003,0.744874715261959,0.23234624145785876,327.0,102.0
045_004,0.717234262125903,0.25386996904024767,695.0,246.0
045_005,0.718436873747495,0.2535070140280561,717.0,253.0
045_006,0.6467889908256881,0.3165137614678899,141.0,69.0
045_007,0.7805755395683454,0.16906474820143885,217.0,47.0
045_008,0.7613776137761378,0.2091020910209102,619.0,170.0
045_009,0.7777777777777778,0.20512820512820512,182.0,48.0
045_010,0.7535410764872521,0.22096317280453256,266.0,78.0
045_011,0.6813186813186813,0.2692307692307692,248.0,98.0
045_012,0.7868852459016393,0.1901639344262295,240.0,58.0
045_013,0.8214285714285714,0.14495798319327732,391.0,69.0
045_014,0.824390243902439,0.14146341463414633,169.0,29.0
045_015,0.7019704433497537,0.270935960591133,285.0,110.0
045_016,0.6938775510204082,0.2731554160125589,442.0,174.0
045_017,0.696969696969697,0.26515151515151514,92.0,35.0
045_018,0.554006968641115,0.3989547038327526,318.0,229.0
045_019,0.656084656084656,0.30158730158730157,124.0,57.0
045_020,0.610608020698577,0.3389391979301423,472.0,262.0
045_021,0.30048465266558966,0.678513731825525,186.0,420.0
045_022,0.425206124852768,0.5453474676089517,361.0,463.0
045_023,0.28396946564885495,0.6870229007633588,186.0,450.0
045_024,0.1820388349514563,0.7912621359223301,75.0,326.0
045_025,0.2540650406504065,0.7134146341463414,125.0,351.0
045_026,0.41492537313432837,0.5582089552238806,139.0,187.0
045_027,0.42289348171701113,0.5500794912559619,266.0,346.0
045_028,0.22843822843822845,0.7435897435897436,98.0,319.0
045_029,0.2553763440860215,0.6693548387096774,95.0,249.0
045_030,0.2611174458380844,0.7172177879133409,229.0,629.0
045_031,0.21852731591448932,0.7600950118764845,276.0,960.0
045_032,0.3007518796992481,0.6804511278195489,80.0,181.0
045_033,0.31886792452830187,0.6396226415094339,169.0,339.0
045_034,0.37422037422037424,0.5717255717255717,180.0,275.0
045_035,0.3225806451612903,0.6478494623655914,120.0,241.0
045_036,0.286783042394015,0.683291770573566,115.0,274.0
045_037,0.267578125,0.677734375,137.0,347.0
045_038,0.23512747875354106,0.7280453257790368,166.0,514.0
045_039,0.18983700862895495,0.7938638542665388,198.0,828.0
045_040,0.3001841620626151,0.6464088397790055,163.0,351.0
045_041,0.183,0.786,183.0,786.0
045_042,0.1696969696969697,0.8048484848484848,140.0,664.0
045_043,0.30091743119266057,0.673394495412844,164.0,367.0
045_044,0.2071269487750557,0.7538975501113586,186.0,677.0
045_045,0.2911010558069382,0.669683257918552,193.0,444.0
045_046,0.22274881516587677,0.7456556082148499,141.0,472.0
045_047,0.17435897435897435,0.7743589743589744,34.0,151.0
045_048,0.1736930860033727,0.7976391231028668,103.0,473.0
045_049,0.20818815331010454,0.7630662020905923,239.0,876.0
045_050,0.31724137931034485,0.6603448275862069,184.0,383.0
045_051,0.36489151873767256,0.6134122287968442,185.0,311.0
045_052,0.22085889570552147,0.754601226993865,72.0,246.0
045_053,0.24916573971078976,0.710789766407119,224.0,639.0
045_054,0.2334293948126801,0.729106628242075,162.0,506.0
045_055,0.19241192411924118,0.7777777777777778,142.0,574.0
045_056,0.32172701949860727,0.6462395543175488,231.0,464.0
